GLYMA18G00530.1	SMG1	882604	865625	3847.GLYMA18G00530.1	3847.GLYMA11G13152.1	0	0	0	0	0.099	0.538	0	0.319	0.691
GLYMA18G00530.1	GLYMA04G39150.2	882604	846447	3847.GLYMA18G00530.1	3847.GLYMA04G39150.2	0	0	0	0	0.099	0.538	0	0.319	0.691
GLYMA16G29750.1	GLYMA14G34640.1	879543	874652	3847.GLYMA16G29750.1	3847.GLYMA14G34640.1	0.079	0	0	0	0.119	0.554	0	0.247	0.691
GLYMA20G36600.2	GLYMA02G17040.1	890203	840264	3847.GLYMA20G36600.2	3847.GLYMA02G17040.1	0	0	0	0	0.115	0.614	0	0	0.643
GLYMA20G36600.2	GLYMA10G02760.2	890203	861734	3847.GLYMA20G36600.2	3847.GLYMA10G02760.2	0	0	0	0	0.115	0.614	0	0	0.643
GLYMA14G40320.1	GLYMA14G34640.1	875134	874652	3847.GLYMA14G40320.1	3847.GLYMA14G34640.1	0.079	0	0	0	0.119	0.554	0	0.118	0.638
GLYMA17G37820.1	GLYMA14G34640.1	882543	874652	3847.GLYMA17G37820.1	3847.GLYMA14G34640.1	0.079	0	0	0	0.119	0.554	0	0.118	0.638
GLYMA19G32290.1	GLYMA12G04480.2	886851	867448	3847.GLYMA19G32290.1	3847.GLYMA12G04480.2	0.181	0	0	0	0.044	0	0	0.572	0.635
GLYMA20G36600.2	GLYMA09G24410.1	890203	860013	3847.GLYMA20G36600.2	3847.GLYMA09G24410.1	0	0	0	0	0.050	0.628	0	0	0.631
GLYMA20G36600.2	GLYMA16G29750.1	890203	879543	3847.GLYMA20G36600.2	3847.GLYMA16G29750.1	0	0	0	0	0.050	0.628	0	0	0.631
GLYMA08G22570.2	GLYMA04G09950.1	857222	845372	3847.GLYMA08G22570.2	3847.GLYMA04G09950.1	0.148	0	0	0	0.047	0.405	0	0.323	0.629
GLYMA07G03530.3	GLYMA04G09950.1	852767	845372	3847.GLYMA07G03530.3	3847.GLYMA04G09950.1	0.148	0	0	0	0.047	0.405	0	0.323	0.629
GLYMA08G22570.2	GLYMA06G10000.2	857222	850227	3847.GLYMA08G22570.2	3847.GLYMA06G10000.2	0.148	0	0	0	0.047	0.405	0	0.323	0.629
GLYMA07G03530.3	GLYMA06G10000.2	852767	850227	3847.GLYMA07G03530.3	3847.GLYMA06G10000.2	0.148	0	0	0	0.047	0.405	0	0.323	0.629
GLYMA12G04480.2	GLYMA10G12530.1	867448	862426	3847.GLYMA12G04480.2	3847.GLYMA10G12530.1	0	0	0	0	0.099	0.137	0	0.558	0.626
GLYMA12G04480.2	GLYMA05G35570.1	867448	849016	3847.GLYMA12G04480.2	3847.GLYMA05G35570.1	0	0	0	0	0.514	0	0	0.253	0.621
GLYMA12G04480.2	GLYMA01G37136.1	867448	838021	3847.GLYMA12G04480.2	3847.GLYMA01G37136.1	0	0	0	0	0.602	0	0	0.077	0.616
GLYMA14G39820.1	GLYMA11G06620.2	875093	865023	3847.GLYMA14G39820.1	3847.GLYMA11G06620.2	0	0	0	0	0.092	0.540	0	0.145	0.611
GLYMA14G39820.1	GLYMA01G38671.1	875093	838159	3847.GLYMA14G39820.1	3847.GLYMA01G38671.1	0	0	0	0	0.092	0.540	0	0.145	0.611
GLYMA12G04480.2	sdh3	867448	852258	3847.GLYMA12G04480.2	3847.GLYMA06G46180.1	0.160	0	0	0	0.083	0	0	0.531	0.607
GLYMA12G04480.2	GLYMA09G24410.1	867448	860013	3847.GLYMA12G04480.2	3847.GLYMA09G24410.1	0.072	0	0	0	0.047	0	0	0.588	0.603
GLYMA16G29750.1	GLYMA12G04480.2	879543	867448	3847.GLYMA16G29750.1	3847.GLYMA12G04480.2	0.072	0	0	0	0.047	0	0	0.588	0.603
GLYMA08G12220.8	GLYMA02G17040.1	856282	840264	3847.GLYMA08G12220.8	3847.GLYMA02G17040.1	0	0	0	0	0.067	0.530	0	0.141	0.590
GLYMA20G26440.1	GLYMA14G33480.1	889281	874592	3847.GLYMA20G26440.1	3847.GLYMA14G33480.1	0.063	0	0.274	0	0	0	0	0.447	0.590
GLYMA10G02760.2	GLYMA08G12220.8	861734	856282	3847.GLYMA10G02760.2	3847.GLYMA08G12220.8	0	0	0	0	0.067	0.530	0	0.141	0.590
GF14C	GLYMA02G17040.1	848410	840264	3847.GLYMA05G29080.10	3847.GLYMA02G17040.1	0	0	0	0	0.067	0.530	0	0.141	0.590
GLYMA10G02760.2	GF14C	861734	848410	3847.GLYMA10G02760.2	3847.GLYMA05G29080.10	0	0	0	0	0.067	0.530	0	0.141	0.590
GLYMA18G00530.1	GLYMA12G35880.3	882604	869248	3847.GLYMA18G00530.1	3847.GLYMA12G35880.3	0.062	0	0	0	0	0	0	0.565	0.574
