Glyma15g07770	Glyma15g07770 	Glyma15g07770 	Glyma.15g071800
Glyma13g37790	Glyma13g37790 	Glyma13g37790 	Glyma.13g302100 
Glyma16g23870	Glyma16g23870 	Glyma16g23870 	Glyma.16g128600 
Glyma20g20456	Glyma20g20390 	Glyma20g20456 	Glyma.20g080700 
Glyma14g29360	Glyma14g29360 	Glyma14g29360 	Glyma.14g124700 
Glyma20g22550	Glyma20g22550 	Glyma20g22550 	Glyma.20g093200 
Glyma20g26440	Glyma20g26440 	Glyma20g26440 	Glyma.20g128600 
Glyma18g47890	Glyma18g47890 	Glyma18g47890 	Glyma.18g243700 
Glyma19g43030	Glyma19g43030 	Glyma19g43030 	Glyma.19g241500 
Glyma20g23890	Glyma20g23890 	Glyma20g23890 	Glyma.20g105300 
Glyma12g04480	Glyma12g04480 	Glyma12g04480 	Glyma.12g041000 
Glyma02g17040	Glyma02g17040 	Glyma02g17040 	Glyma.02g151400 
Glyma01g38671	Glyma01g38670 	Glyma01g38671 	Glyma.01g180100 
Glyma14g39820	Glyma14g39820 	Glyma14g39820 	Glyma.14g223400 
Glyma10g02760	Glyma10g02760 	Glyma10g02760 	Glyma.10g022700 
Glyma01g37136	Glyma01g37140 	Glyma01g37136 	Glyma.01g166400 
Glyma11g06620	Glyma11g06620 	Glyma11g06620 	Glyma.11g062100 
Glyma18g00530	Glyma18g00530 	Glyma18g00530 	Glyma.18g002400 
Smg1
Glyma14g33480	Glyma14g33480 	Glyma14g33480 	Glyma.14g164900 
Glyma14g34640	Glyma14g34640 	Glyma14g34640 	Glyma.14g171800 
Loc548020
Glyma04g39500	Glyma04g39500 	Glyma04g39500 	Glyma.04g217300 
Glyma05g35570	Glyma05g35570 	Glyma05g35570 	Glyma.05g229800 
Glyma10g12530	Glyma10g12530 	Glyma10g12530 	Glyma.10g095200 
Sdh3
Glyma20g36600	Glyma20g36600 	Glyma20g36600 	Glyma.20g223300 
Glyma12g35880	Glyma12g35880 	Glyma12g35880 	Glyma.12g229700 
Glyma06g15820	Glyma06g15820 	Glyma06g15820 	Glyma.06g152800 
Glyma04g39150	Glyma04g39150 	Glyma04g39150 	Glyma.04g213400 
Glyma16g29750	Glyma16g29750 	Glyma16g29750 	Glyma.16g178800 
Gf14c
Glyma08g12220	Glyma08g12220 	Glyma08g12220 	Glyma.08g115800 
Glyma13g23420	Glyma13g23420 	Glyma13g23420 	Glyma.13g165400 
Glyma09g24410	Glyma09g24410 	Glyma09g24410 	Glyma.09g131500 
Glyma01g14733	Glyma01g14740 	Glyma01g14733 	Glyma.01g075300 
Glyma11g16460	Glyma11g16490 Glyma11g16460 	Glyma11g16460 	Glyma.U016100 
Impdh1
Glyma14g40320	Glyma14g40320 	Glyma14g40320 	Glyma.14g219700 
Glyma17g37820	Glyma17g37820 	Glyma17g37820 	Glyma.17g258700 
